<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
29.01.2021;0;4220.0000000;4303.0000000;4175.0000000;4206.0000000;7521
01.02.2021;0;4212.0000000;4364.0000000;4200.0000000;4333.0000000;6138
02.02.2021;0;4333.0000000;4430.0000000;4300.0000000;4429.0000000;6378
03.02.2021;0;4439.0000000;4463.0000000;4362.0000000;4387.0000000;3032
04.02.2021;0;4400.0000000;4428.0000000;4330.0000000;4417.0000000;6044
05.02.2021;0;4410.0000000;4435.0000000;4340.0000000;4345.0000000;1877
08.02.2021;0;4336.0000000;4390.0000000;4308.0000000;4384.0000000;3178
09.02.2021;0;4377.0000000;4398.0000000;4289.0000000;4354.0000000;3926
10.02.2021;0;4350.0000000;4372.0000000;4300.0000000;4344.0000000;2241
11.02.2021;0;4353.0000000;4491.0000000;4320.0000000;4467.0000000;4524
12.02.2021;0;4480.0000000;4616.0000000;4432.0000000;4548.0000000;6967
16.02.2021;0;4582.0000000;4630.0000000;4519.0000000;4597.0000000;7608
17.02.2021;0;4592.0000000;4600.0000000;4541.0000000;4570.0000000;7127
18.02.2021;0;4551.0000000;4569.0000000;4472.0000000;4569.0000000;3355
19.02.2021;0;4550.0000000;4686.0000000;4537.0000000;4675.0000000;4486
22.02.2021;0;4667.0000000;4692.0000000;4513.0000000;4530.0000000;3236
24.02.2021;0;4448.0000000;4632.0000000;4401.0000000;4632.0000000;3907
25.02.2021;0;4657.0000000;4692.0000000;4500.0000000;4540.0000000;9809
26.02.2021;0;4501.0000000;4600.0000000;4310.0000000;4587.0000000;8251
01.03.2021;0;4564.0000000;4675.0000000;4535.0000000;4653.0000000;3381
02.03.2021;0;4686.0000000;4686.0000000;4543.0000000;4543.0000000;3621
03.03.2021;0;4537.0000000;4551.0000000;4425.0000000;4466.0000000;4949
04.03.2021;0;4417.0000000;4425.0000000;4290.0000000;4379.0000000;4472
05.03.2021;0;4315.0000000;4535.0000000;4303.0000000;4534.0000000;4369
09.03.2021;0;4500.0000000;4662.0000000;4454.0000000;4635.0000000;2938
10.03.2021;0;4625.0000000;4720.0000000;4581.0000000;4595.0000000;3164
11.03.2021;0;4638.0000000;4691.0000000;4591.0000000;4637.0000000;2041
12.03.2021;0;4675.0000000;4675.0000000;4562.0000000;4600.0000000;1650
15.03.2021;0;4618.0000000;4656.0000000;4568.0000000;4655.0000000;2351
16.03.2021;0;4656.0000000;4780.0000000;4640.0000000;4713.0000000;2419
17.03.2021;0;4704.0000000;4904.0000000;4701.0000000;4850.0000000;6285
18.03.2021;0;4849.0000000;4875.0000000;4737.0000000;4747.0000000;6627
19.03.2021;0;4701.0000000;4822.0000000;4678.0000000;4747.0000000;2429
22.03.2021;0;4730.0000000;4966.0000000;4730.0000000;4923.0000000;3490
23.03.2021;0;4915.0000000;5035.0000000;4827.0000000;4860.0000000;3100
24.03.2021;0;4949.0000000;5140.0000000;4745.0000000;4760.0000000;9050
25.03.2021;0;4745.0000000;4786.0000000;4620.0000000;4742.0000000;3918
26.03.2021;0;4748.0000000;4915.0000000;4680.0000000;4900.0000000;3088
29.03.2021;0;4890.0000000;4920.0000000;4835.0000000;4898.0000000;2628
30.03.2021;0;4883.0000000;4890.0000000;4809.0000000;4836.0000000;1499
31.03.2021;0;4820.0000000;4867.0000000;4792.0000000;4842.0000000;2485
01.04.2021;0;4876.0000000;4935.0000000;4851.0000000;4922.0000000;2984
05.04.2021;0;4949.0000000;5092.0000000;4911.0000000;5090.0000000;4689
06.04.2021;0;5011.0000000;5156.0000000;5011.0000000;5068.0000000;4671
