<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
05.03.2021;0;221405.0000000;223600.0000000;215440.0000000;222772.0000000;345
09.03.2021;0;220851.0000000;228285.0000000;220293.0000000;227403.0000000;211
10.03.2021;0;226645.0000000;229222.0000000;223555.0000000;225450.0000000;159
11.03.2021;0;227451.0000000;229869.0000000;227184.0000000;228500.0000000;298
12.03.2021;0;228061.0000000;228061.0000000;224345.0000000;226989.0000000;126
15.03.2021;0;225443.0000000;226832.0000000;221952.0000000;224451.0000000;197
16.03.2021;0;225860.0000000;227200.0000000;224465.0000000;225068.0000000;219
17.03.2021;0;225211.0000000;233100.0000000;225211.0000000;230000.0000000;298
18.03.2021;0;232097.0000000;232097.0000000;225200.0000000;225989.0000000;165
19.03.2021;0;226371.0000000;228000.0000000;224300.0000000;227130.0000000;119
22.03.2021;0;229000.0000000;233725.0000000;228704.0000000;232448.0000000;182
23.03.2021;0;233000.0000000;242131.0000000;233000.0000000;239241.0000000;477
24.03.2021;0;240323.0000000;240955.0000000;236455.0000000;236649.0000000;145
25.03.2021;0;236649.0000000;236990.0000000;232000.0000000;232500.0000000;319
26.03.2021;0;231650.0000000;232416.0000000;228000.0000000;231559.0000000;63
29.03.2021;0;230218.0000000;233664.0000000;229834.0000000;233000.0000000;127
30.03.2021;0;231841.0000000;233500.0000000;231132.0000000;231270.0000000;52
31.03.2021;0;231731.0000000;235489.0000000;230802.0000000;234270.0000000;114
01.04.2021;0;236181.0000000;241200.0000000;235884.0000000;241200.0000000;144
05.04.2021;0;240127.0000000;246700.0000000;240127.0000000;246220.0000000;238
06.04.2021;0;245753.0000000;250173.0000000;243800.0000000;249255.0000000;174
07.04.2021;0;250945.0000000;254368.0000000;249403.0000000;252956.0000000;242
08.04.2021;0;254269.0000000;255900.0000000;252893.0000000;253401.0000000;146
09.04.2021;0;253739.0000000;260927.0000000;253739.0000000;260267.0000000;222
12.04.2021;0;259948.0000000;263000.0000000;259000.0000000;262445.0000000;292
13.04.2021;0;262039.0000000;264000.0000000;258100.0000000;258100.0000000;259
14.04.2021;0;256527.0000000;258400.0000000;252500.0000000;252650.0000000;134
15.04.2021;0;256500.0000000;259650.0000000;255781.0000000;257803.0000000;389
16.04.2021;0;255593.0000000;258000.0000000;254399.0000000;257400.0000000;59
19.04.2021;0;260000.0000000;262000.0000000;256834.0000000;256834.0000000;97
20.04.2021;0;257837.0000000;259430.0000000;254037.0000000;254037.0000000;98
21.04.2021;0;253990.0000000;257056.0000000;253509.0000000;256870.0000000;121
22.04.2021;0;257000.0000000;257000.0000000;249828.0000000;249828.0000000;77
23.04.2021;0;249802.0000000;253000.0000000;248321.0000000;250013.0000000;40
26.04.2021;0;250000.0000000;256215.0000000;249851.0000000;255811.0000000;104
27.04.2021;0;257800.0000000;259000.0000000;255000.0000000;256446.0000000;292
28.04.2021;0;256446.0000000;260426.0000000;255607.0000000;259518.0000000;122
29.04.2021;0;259500.0000000;272183.0000000;256842.0000000;269000.0000000;672
30.04.2021;0;264989.0000000;268000.0000000;261033.0000000;261197.0000000;281
04.05.2021;0;255001.0000000;255017.0000000;245623.0000000;253000.0000000;239
05.05.2021;0;253000.0000000;253000.0000000;244692.0000000;244843.0000000;261
06.05.2021;0;244843.0000000;245780.0000000;242000.0000000;245298.0000000;167
07.05.2021;0;246080.0000000;248500.0000000;242965.0000000;242965.0000000;113
10.05.2021;0;243868.0000000;243868.0000000;237000.0000000;237305.0000000;177
11.05.2021;0;239600.0000000;239600.0000000;231500.0000000;238991.0000000;219
12.05.2021;0;238000.0000000;238910.0000000;234127.0000000;235381.0000000;132
13.05.2021;0;235093.0000000;236767.0000000;232500.0000000;234073.0000000;144
14.05.2021;0;235865.0000000;238400.0000000;235068.0000000;237917.0000000;83
17.05.2021;0;247000.0000000;247000.0000000;238500.0000000;243000.0000000;74
18.05.2021;0;243229.0000000;244814.0000000;238000.0000000;238444.0000000;69
19.05.2021;0;238278.0000000;238285.0000000;235000.0000000;238000.0000000;59
20.05.2021;0;239269.0000000;239550.0000000;237646.0000000;238569.0000000;58
21.05.2021;0;239765.0000000;239765.0000000;235500.0000000;235605.0000000;72
24.05.2021;0;235909.0000000;238955.0000000;235619.0000000;238824.0000000;96
25.05.2021;0;240131.0000000;240500.0000000;236638.0000000;239767.0000000;106
