<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
18.06.2021;0;40750.0000000;41379.0000000;40468.0000000;41379.0000000;278
21.06.2021;0;41595.0000000;41650.0000000;41274.0000000;41405.0000000;132
22.06.2021;0;41546.0000000;42000.0000000;41299.0000000;42000.0000000;55
23.06.2021;0;41988.0000000;42011.0000000;41553.0000000;41816.0000000;92
24.06.2021;0;41687.0000000;41798.0000000;41567.0000000;41774.0000000;109
25.06.2021;0;41734.0000000;41953.0000000;41620.0000000;41949.0000000;87
28.06.2021;0;41847.0000000;42500.0000000;41847.0000000;42443.0000000;23
29.06.2021;0;42588.0000000;43050.0000000;42561.0000000;43023.0000000;81
30.06.2021;0;42926.0000000;43143.0000000;42785.0000000;42785.0000000;63
01.07.2021;0;42757.0000000;42886.0000000;42584.0000000;42886.0000000;189
02.07.2021;0;42999.0000000;43480.0000000;42999.0000000;43426.0000000;78
06.07.2021;0;43598.0000000;44506.0000000;43499.0000000;44305.0000000;78
07.07.2021;0;44301.0000000;45306.0000000;44301.0000000;45306.0000000;75
08.07.2021;0;45516.0000000;45516.0000000;44500.0000000;45376.0000000;530
09.07.2021;0;45323.0000000;45323.0000000;44500.0000000;44910.0000000;89
12.07.2021;0;46255.0000000;46255.0000000;44589.0000000;44630.0000000;132
13.07.2021;0;44531.0000000;45052.0000000;44428.0000000;45052.0000000;35
14.07.2021;0;45026.0000000;45204.0000000;44793.0000000;45127.0000000;88
15.07.2021;0;45573.0000000;45573.0000000;44799.0000000;45090.0000000;189
16.07.2021;0;44889.0000000;45392.0000000;44840.0000000;44963.0000000;125
19.07.2021;0;44953.0000000;45491.0000000;44651.0000000;44921.0000000;132
20.07.2021;0;45075.0000000;45344.0000000;44712.0000000;45316.0000000;21
21.07.2021;0;45133.0000000;45350.0000000;45133.0000000;45234.0000000;11
22.07.2021;0;45275.0000000;46044.0000000;45275.0000000;46044.0000000;41
23.07.2021;0;46272.0000000;46382.0000000;45896.0000000;46178.0000000;39
26.07.2021;0;46344.0000000;46345.0000000;45698.0000000;45698.0000000;66
27.07.2021;0;45813.0000000;45813.0000000;45320.0000000;45322.0000000;47
28.07.2021;0;45525.0000000;46085.0000000;45262.0000000;45601.0000000;353
29.07.2021;0;45582.0000000;45594.0000000;45300.0000000;45482.0000000;39
30.07.2021;0;45243.0000000;45418.0000000;45010.0000000;45418.0000000;21
02.08.2021;0;45890.0000000;45890.0000000;44722.0000000;45259.0000000;144
03.08.2021;0;45106.0000000;45610.0000000;44943.0000000;45212.0000000;147
04.08.2021;0;45323.0000000;45799.0000000;45220.0000000;45799.0000000;109
05.08.2021;0;45793.0000000;46263.0000000;45736.0000000;46123.0000000;22
06.08.2021;0;46001.0000000;46340.0000000;45948.0000000;46311.0000000;353
09.08.2021;0;46468.0000000;46538.0000000;46092.0000000;46471.0000000;102
10.08.2021;0;46513.0000000;46663.0000000;45900.0000000;45950.0000000;88
