<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
07.06.2021;0;18187.0000000;18550.0000000;18172.0000000;18550.0000000;1175
08.06.2021;0;18466.0000000;18537.0000000;18254.0000000;18254.0000000;770
09.06.2021;0;18218.0000000;18428.0000000;18218.0000000;18308.0000000;280
10.06.2021;0;18307.0000000;18515.0000000;18224.0000000;18483.0000000;368
11.06.2021;0;18483.0000000;18610.0000000;18370.0000000;18610.0000000;710
14.06.2021;0;18605.0000000;18760.0000000;18570.0000000;18715.0000000;723
15.06.2021;0;18670.0000000;18775.0000000;18602.0000000;18644.0000000;542
16.06.2021;0;18630.0000000;18741.0000000;18450.0000000;18735.0000000;1013
17.06.2021;0;18542.0000000;18927.0000000;18487.0000000;18866.0000000;395
18.06.2021;0;18912.0000000;19011.0000000;18729.0000000;18858.0000000;537
21.06.2021;0;19000.0000000;19300.0000000;18902.0000000;19194.0000000;814
22.06.2021;0;19236.0000000;19360.0000000;19118.0000000;19360.0000000;988
23.06.2021;0;19361.0000000;19383.0000000;19200.0000000;19269.0000000;622
24.06.2021;0;19329.0000000;19370.0000000;19204.0000000;19300.0000000;612
25.06.2021;0;19339.0000000;19340.0000000;19000.0000000;19130.0000000;846
28.06.2021;0;19238.0000000;19399.0000000;19174.0000000;19395.0000000;759
29.06.2021;0;19400.0000000;19770.0000000;19400.0000000;19723.0000000;1217
30.06.2021;0;19723.0000000;19850.0000000;19700.0000000;19843.0000000;1479
01.07.2021;0;19847.0000000;19931.0000000;19690.0000000;19918.0000000;2101
02.07.2021;0;20028.0000000;20499.0000000;19965.0000000;20481.0000000;963
06.07.2021;0;20485.0000000;20800.0000000;20286.0000000;20662.0000000;4176
07.07.2021;0;20601.0000000;21000.0000000;20550.0000000;20959.0000000;759
08.07.2021;0;21059.0000000;21059.0000000;20603.0000000;20726.0000000;1617
09.07.2021;0;20580.0000000;20726.0000000;20466.0000000;20631.0000000;334
12.07.2021;0;20679.0000000;20874.0000000;20600.0000000;20698.0000000;516
13.07.2021;0;20660.0000000;20961.0000000;20525.0000000;20863.0000000;1001
14.07.2021;0;20875.0000000;21003.0000000;20783.0000000;20969.0000000;502
15.07.2021;0;21058.0000000;21069.0000000;20798.0000000;20883.0000000;563
16.07.2021;0;21100.0000000;21110.0000000;20716.0000000;20824.0000000;1344
19.07.2021;0;20837.0000000;20929.0000000;20550.0000000;20723.0000000;1066
20.07.2021;0;20727.0000000;20837.0000000;20659.0000000;20766.0000000;291
21.07.2021;0;20877.0000000;20877.0000000;20685.0000000;20794.0000000;204
22.07.2021;0;20794.0000000;21150.0000000;20794.0000000;21150.0000000;500
23.07.2021;0;21898.0000000;21898.0000000;21104.0000000;21358.0000000;534
26.07.2021;0;21506.0000000;21519.0000000;21153.0000000;21258.0000000;862
27.07.2021;0;21377.0000000;21387.0000000;20447.0000000;20631.0000000;1651
28.07.2021;0;21100.0000000;21480.0000000;20907.0000000;21053.0000000;1601
29.07.2021;0;21056.0000000;21129.0000000;20900.0000000;20900.0000000;550
30.07.2021;0;20820.0000000;20900.0000000;20727.0000000;20851.0000000;403
02.08.2021;0;20947.0000000;21041.0000000;20669.0000000;20829.0000000;256
03.08.2021;0;20829.0000000;20950.0000000;20730.0000000;20949.0000000;357
04.08.2021;0;20953.0000000;21010.0000000;20787.0000000;20941.0000000;292
05.08.2021;0;20941.0000000;21203.0000000;20941.0000000;21203.0000000;305
06.08.2021;0;21131.0000000;21282.0000000;21079.0000000;21282.0000000;457
09.08.2021;0;21199.0000000;21359.0000000;21199.0000000;21250.0000000;695
10.08.2021;0;21270.0000000;21416.0000000;21110.0000000;21162.0000000;467
11.08.2021;0;21162.0000000;21250.0000000;21050.0000000;21080.0000000;388
12.08.2021;0;21378.0000000;21378.0000000;20900.0000000;21311.0000000;633
13.08.2021;0;21389.0000000;21450.0000000;21208.0000000;21450.0000000;437
16.08.2021;0;21400.0000000;21600.0000000;21294.0000000;21600.0000000;730
17.08.2021;0;21980.0000000;21998.0000000;21426.0000000;21560.0000000;508
18.08.2021;0;21500.0000000;21691.0000000;21421.0000000;21519.0000000;314
19.08.2021;0;21103.0000000;22049.0000000;21103.0000000;22035.0000000;1224
20.08.2021;0;22081.0000000;22724.0000000;21922.0000000;22639.0000000;436
23.08.2021;0;22650.0000000;22688.0000000;22457.0000000;22618.0000000;947
24.08.2021;0;22626.0000000;22704.0000000;22300.0000000;22311.0000000;980
25.08.2021;0;22383.0000000;22518.0000000;22248.0000000;22380.0000000;569
26.08.2021;0;22414.0000000;22452.0000000;22200.0000000;22225.0000000;578
27.08.2021;0;22224.0000000;22258.0000000;21978.0000000;22070.0000000;641
30.08.2021;0;22070.0000000;22377.0000000;22070.0000000;22292.0000000;990
31.08.2021;0;22361.0000000;22417.0000000;22136.0000000;22150.0000000;525
01.09.2021;0;22247.0000000;22250.0000000;22011.0000000;22011.0000000;860
02.09.2021;0;22112.0000000;22112.0000000;21903.0000000;21955.0000000;417
03.09.2021;0;22750.0000000;22750.0000000;21880.0000000;21900.0000000;652
07.09.2021;0;22181.0000000;22181.0000000;21877.0000000;22027.0000000;683
08.09.2021;0;22103.0000000;22103.0000000;21850.0000000;21906.0000000;607
09.09.2021;0;21906.0000000;22016.0000000;21695.0000000;21705.0000000;424
10.09.2021;0;21654.0000000;21917.0000000;21645.0000000;21684.0000000;541
13.09.2021;0;21642.0000000;21711.0000000;21395.0000000;21620.0000000;588
14.09.2021;0;21621.0000000;21946.0000000;21617.0000000;21872.0000000;710
15.09.2021;0;22161.0000000;22161.0000000;21900.0000000;22042.0000000;955
16.09.2021;0;22109.0000000;22161.0000000;21854.0000000;22109.0000000;453
17.09.2021;0;22215.0000000;22215.0000000;21838.0000000;21890.0000000;892
20.09.2021;0;21787.0000000;21859.0000000;21315.0000000;21592.0000000;1024
21.09.2021;0;21732.0000000;21758.0000000;21500.0000000;21500.0000000;316
22.09.2021;0;21519.0000000;21860.0000000;21477.0000000;21806.0000000;1058
23.09.2021;0;21874.0000000;21924.0000000;21650.0000000;21787.0000000;924
